Date,Ping (ms),Download (Mbps),Upload (Mbps)
2020-06-13 03:00:35.685134,39.0,6.1,1.01
2020-06-13 03:30:29.357553,44.0,6.22,1.13
2020-06-13 04:00:34.522539,72.0,6.23,1.1
2020-06-13 04:30:28.553449,50.0,6.08,1.13
2020-06-13 05:00:30.730231,75.0,5.87,1.07
2020-06-13 05:30:29.812657,53.0,6.09,1.07
2020-06-13 06:00:33.249824,62.0,6.12,0.98
2020-06-13 06:30:32.514888,40.0,6.1,1.0
2020-06-13 07:00:32.779851,55.0,5.51,1.06
2020-06-13 07:30:30.240287,43.0,6.06,0.93
2020-06-13 08:00:39.910476,40.0,6.14,0.91
2020-06-13 08:30:30.073608,43.0,6.05,1.02
2020-06-13 09:00:32.334151,62.0,6.01,1.19
2020-06-13 09:30:34.092305,43.0,3.85,0.9
2020-06-13 10:00:32.290757,62.0,6.16,1.15
2020-06-13 10:30:27.549026,40.0,6.08,1.18
2020-06-13 11:00:38.238925,180.0,3.8,0.98
2020-06-13 11:30:33.165275,41.0,4.34,1.0
2020-06-13 12:00:35.652930,51.0,3.72,0.93
2020-06-13 12:30:29.927931,43.0,2.64,1.0
2020-06-13 13:00:36.334519,53.0,6.02,1.04
2020-06-13 13:30:30.401671,42.0,6.12,1.15
2020-06-13 14:00:32.789595,68.0,4.91,1.09
2020-06-13 14:30:39.820321,176.0,3.99,0.95
2020-06-13 15:00:34.666843,80.0,3.84,0.98
2020-06-13 15:30:33.284920,43.0,5.49,0.96
2020-06-13 16:00:38.854922,148.0,3.66,0.88
2020-06-13 16:30:28.023687,46.0,6.02,1.16
2020-06-13 17:00:32.119010,61.0,6.11,1.17
2020-06-13 17:30:30.753327,41.0,6.17,1.03
2020-06-13 18:00:30.785513,44.0,6.16,1.17
2020-06-13 18:30:31.250049,44.0,6.15,1.09
2020-06-13 19:00:29.894317,61.0,5.75,1.19
2020-06-13 19:30:27.969558,60.0,6.16,1.21
2020-06-13 20:00:43.122773,58.0,4.54,1.04
2020-06-13 20:30:42.830440,66.0,4.09,1.07
2020-06-13 21:00:39.384666,67.0,3.78,0.76
2020-06-13 21:30:37.865303,57.0,3.52,0.97
2020-06-13 22:00:36.594023,41.0,6.1,1.09
2020-06-13 22:30:37.597944,55.0,3.61,1.01
2020-06-13 23:00:33.743278,44.0,3.87,0.96
2020-06-13 23:30:42.579063,44.0,5.08,0.94
2020-06-14 10:30:32.759665,119.0,5.65,0.93
2020-06-14 11:00:30.517068,42.0,5.67,0.99
2020-06-14 11:30:34.337469,141.0,4.11,0.94
2020-06-14 12:00:35.903371,59.0,4.62,0.79
2020-06-14 12:30:29.235961,45.0,2.63,0.98
2020-06-14 13:00:33.540521,43.0,3.46,0.96
2020-06-14 13:30:36.422446,232.0,3.72,0.91
2020-06-14 14:00:32.140434,58.0,6.04,1.04
2020-06-14 14:30:27.494834,48.0,6.09,1.15
2020-06-14 15:00:32.322123,60.0,6.1,1.17
2020-06-14 15:30:27.428878,57.0,6.05,1.11
2020-06-14 16:00:34.180906,60.0,5.78,0.94
2020-06-14 16:30:28.117219,44.0,6.13,1.1
2020-06-14 17:00:32.992444,62.0,4.41,1.02
2020-06-14 17:30:30.252367,51.0,3.8,0.91
2020-06-14 18:00:28.085772,40.0,5.71,1.23
2020-06-14 18:30:27.408766,41.0,5.85,1.16
2020-06-14 19:00:31.167655,39.0,6.15,1.04
2020-06-14 19:30:29.570713,61.0,5.72,1.0
2020-06-14 20:00:36.593684,61.0,5.63,1.12
2020-06-14 20:30:30.323443,60.0,4.52,0.96
2020-06-14 21:00:30.436720,62.0,5.16,1.1
2020-06-14 21:30:30.223948,67.0,4.08,1.04
2020-06-14 22:00:34.779445,40.0,6.17,1.07
2020-06-14 22:30:29.405520,40.0,6.0,0.96
2020-06-14 23:00:30.325191,58.0,6.05,0.95
2020-06-14 23:30:26.632969,40.0,6.18,1.17
2020-06-15 00:00:35.065521,60.0,5.75,1.01
2020-06-15 00:30:26.642419,48.0,6.1,1.25
2020-06-15 01:00:31.792731,67.0,6.06,1.22
2020-06-15 01:30:26.939397,40.0,6.08,1.15
2020-06-15 02:00:32.500316,62.0,6.0,0.99
2020-06-15 02:30:27.410658,54.0,5.6,1.18
2020-06-15 03:00:30.089552,59.0,5.87,1.18
2020-06-15 03:30:27.427172,43.0,6.06,1.12
2020-06-15 04:00:28.877167,52.0,6.06,1.07
2020-06-15 04:30:31.348262,59.0,6.17,1.05
2020-06-15 05:00:29.194781,45.0,6.05,1.11
2020-06-15 05:30:28.942314,46.0,6.05,0.97
2020-06-15 06:00:36.030266,61.0,6.07,1.09
2020-06-15 06:30:27.861284,39.0,5.3,1.03
2020-06-15 07:00:32.056369,61.0,5.96,1.15
2020-06-15 07:30:27.982446,55.0,6.06,1.18
2020-06-15 08:00:30.825649,41.0,6.05,1.12
2020-06-15 08:30:27.601609,53.0,6.17,1.07
2020-06-15 09:00:26.888630,45.0,6.14,1.21
2020-06-15 09:30:27.600613,38.0,6.14,1.08
2020-06-15 10:00:30.933012,49.0,6.12,1.04
2020-06-15 10:30:28.133900,48.0,6.1,1.19
2020-06-15 11:00:31.845874,60.0,6.04,1.17
2020-06-15 11:30:27.316692,43.0,5.95,1.08
2020-06-15 12:00:32.419172,60.0,6.13,1.17
2020-06-15 12:30:26.491811,54.0,6.15,1.22
2020-06-15 13:00:28.417298,60.0,6.11,1.12
2020-06-15 13:30:28.450825,40.0,6.15,1.12
2020-06-15 14:00:31.341762,60.0,6.09,1.16
2020-06-15 14:30:27.109115,45.0,6.12,1.17
2020-06-15 15:00:30.717761,44.0,6.03,1.03
2020-06-15 15:30:28.088973,46.0,6.16,1.08
2020-06-15 16:00:30.353543,61.0,5.99,1.17
2020-06-15 16:30:29.558347,40.0,6.12,0.96
2020-06-15 17:00:33.733770,43.0,6.15,0.97
2020-06-15 17:30:29.898769,44.0,6.14,1.04
2020-06-15 18:00:33.923892,45.0,6.01,1.05
2020-06-15 18:30:26.395742,40.0,6.21,1.21
2020-06-15 19:00:28.787712,40.0,6.01,1.22
2020-06-15 19:30:30.054071,40.0,6.18,0.97
2020-06-15 20:00:30.471485,40.0,6.17,1.08
2020-06-15 20:30:27.847778,40.0,6.08,1.15
2020-06-15 21:00:32.394862,59.0,6.1,1.06
2020-06-15 21:30:27.784516,45.0,5.98,1.12
2020-06-15 22:00:30.047616,49.0,6.13,1.12
2020-06-15 22:30:27.241072,58.0,5.89,1.13
2020-06-15 23:00:33.817152,61.0,6.11,0.99
2020-06-15 23:30:27.652475,49.0,6.08,1.1
2020-06-16 00:00:28.309188,59.0,5.92,1.21
